"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.795758292E1,5.140576205E1,-5.155192700E-1,2.173825165E1,2.599999905E-1,3.120000000E2,9.648000717E0,4.000000000E0
7.895838328E1,5.140576342E1,-5.155227900E-1,2.208236247E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
7.995898453E1,5.140576718E1,-5.155264400E-1,2.218086609E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
8.095752588E1,5.140577104E1,-5.155299300E-1,2.143653538E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
8.195805197E1,5.140578106E1,-5.155338700E-1,2.220483436E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
8.295817311E1,5.140578725E1,-5.155359600E-1,2.241307961E1,1.500000060E-1,3.267999878E2,9.648000717E0,4.000000000E0
8.395891519E1,5.140578901E1,-5.155354100E-1,2.246245661E1,3.400000036E-1,1.538000031E2,9.648000717E0,4.000000000E0
8.495892820E1,5.140578882E1,-5.155329900E-1,2.215691784E1,4.699999988E-1,1.291000061E2,9.648000717E0,6.000000000E0
8.595974872E1,5.140579004E1,-5.155318500E-1,2.256976031E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.695973184E1,5.140578554E1,-5.155307100E-1,2.192621001E1,1.039999962E0,1.533999939E2,9.648000717E0,6.000000000E0
8.795878548E1,5.140577812E1,-5.155250600E-1,2.197498916E1,1.039999962E0,1.498000031E2,9.648000717E0,6.000000000E0
8.895878522E1,5.140577016E1,-5.155179900E-1,2.193856540E1,1.039999962E0,1.506000061E2,4.288000107E0,6.000000000E0
8.995794375E1,5.140576330E1,-5.155141000E-1,2.236380677E1,1.019999981E0,1.631000061E2,3.216000080E0,6.000000000E0
9.095802015E1,5.140575960E1,-5.155200300E-1,2.262130891E1,1.019999981E0,2.178999939E2,3.216000080E0,6.000000000E0
9.195817385E1,5.140576277E1,-5.155326500E-1,2.287605144E1,1.009999990E0,2.862000122E2,3.216000080E0,6.000000000E0
9.295892379E1,5.140577013E1,-5.155449900E-1,2.244695370E1,1.009999990E0,3.076000061E2,4.288000107E0,6.000000000E0
9.395771681E1,5.140577921E1,-5.155510300E-1,2.184952796E1,9.399999976E-1,3.228999939E2,3.216000080E0,6.000000000E0
9.495697300E1,5.140578350E1,-5.155505100E-1,2.293759956E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
9.595694722E1,5.140578438E1,-5.155476800E-1,2.247550544E1,2.199999988E-1,3.380000000E2,3.216000080E0,6.000000000E0
9.695713617E1,5.140578686E1,-5.155459200E-1,2.300510813E1,3.700000048E-1,3.058999939E2,3.216000080E0,6.000000000E0
9.795760877E1,5.140578626E1,-5.155428300E-1,2.210087664E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
9.895792491E1,5.140578170E1,-5.155335700E-1,2.206433140E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
9.995862918E1,5.140577881E1,-5.155261600E-1,2.241248730E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.009586122E2,5.140577734E1,-5.155223100E-1,2.242738576E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.019569277E2,5.140577654E1,-5.155203000E-1,2.243977899E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.029572652E2,5.140577607E1,-5.155192300E-1,2.245650430E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.039567925E2,5.140577579E1,-5.155186100E-1,2.247225235E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.049578262E2,5.140577499E1,-5.155163900E-1,2.301467514E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.059612651E2,5.140577440E1,-5.155151600E-1,2.307058531E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.069636810E2,5.140577403E1,-5.155145000E-1,2.309042282E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.079614533E2,5.140577381E1,-5.155140800E-1,2.310855094E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.089620598E2,5.140577366E1,-5.155137900E-1,2.312338295E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.099607056E2,5.140577357E1,-5.155135800E-1,2.313620066E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.109529863E2,5.140577352E1,-5.155134700E-1,2.313613980E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.119558055E2,5.140577348E1,-5.155133900E-1,2.314407450E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.129593566E2,5.140577342E1,-5.155133000E-1,2.315676996E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.139563229E2,5.140577337E1,-5.155132900E-1,2.315487792E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.149558772E2,5.140577330E1,-5.155132000E-1,2.317361587E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.159561161E2,5.140577322E1,-5.155131100E-1,2.319040071E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.169574508E2,5.140577313E1,-5.155130200E-1,2.321219043E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.179563200E2,5.140577308E1,-5.155129400E-1,2.321408266E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.189543271E2,5.140577306E1,-5.155088600E-1,2.368595069E1,2.199999988E-1,4.500000000E1,4.288000107E0,6.000000000E0
1.199577983E2,5.140577154E1,-5.155090600E-1,2.224063892E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.209591185E2,5.140577047E1,-5.155100200E-1,2.207291378E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.219569076E2,5.140576996E1,-5.155086100E-1,2.176322353E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.229589743E2,5.140577007E1,-5.155070900E-1,2.240330109E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.239587207E2,5.140577001E1,-5.155054900E-1,2.176920894E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.249596459E2,5.140577009E1,-5.155056800E-1,2.166483853E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.259606573E2,5.140577039E1,-5.155077000E-1,2.171580010E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.269574567E2,5.140577069E1,-5.155090800E-1,2.171408915E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.279582954E2,5.140577086E1,-5.155097100E-1,2.171585826E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.289566493E2,5.140577088E1,-5.155100000E-1,2.172232760E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.299590894E2,5.140577084E1,-5.155101900E-1,2.172684398E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.309516188E2,5.140577082E1,-5.155102900E-1,2.172714904E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.319608386E2,5.140577080E1,-5.155102700E-1,2.173093326E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.329628717E2,5.140577070E1,-5.155102600E-1,2.173911205E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.339617034E2,5.140577066E1,-5.155102600E-1,2.172818678E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.349612389E2,5.140577068E1,-5.155102100E-1,2.172299885E1,0.000000000E0,NaN,5.360000134E0,8.000000000E0
1.359622146E2,5.140577062E1,-5.155100200E-1,2.174845079E1,0.000000000E0,NaN,5.360000134E0,8.000000000E0
1.369613234E2,5.140577061E1,-5.155098900E-1,2.174057743E1,0.000000000E0,NaN,5.360000134E0,8.000000000E0
1.379571033E2,5.140577056E1,-5.155097700E-1,2.175168601E1,0.000000000E0,NaN,5.360000134E0,8.000000000E0
1.389604909E2,5.140577052E1,-5.155096300E-1,2.177695477E1,0.000000000E0,NaN,4.288000107E0,8.000000000E0
1.399604823E2,5.140577049E1,-5.155095800E-1,2.177378103E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.409598081E2,5.140577038E1,-5.155094900E-1,2.179953805E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.419520945E2,5.140577032E1,-5.155094400E-1,2.179966022E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.429592896E2,5.140577021E1,-5.155093200E-1,2.183182598E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.439599532E2,5.140577014E1,-5.155092000E-1,2.185062500E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.449569290E2,5.140577010E1,-5.155091200E-1,2.185324964E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.459557958E2,5.140577005E1,-5.155090600E-1,2.186094018E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.469558541E2,5.140576999E1,-5.155090000E-1,2.187180456E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.479551419E2,5.140576994E1,-5.155089700E-1,2.187949506E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.489560332E2,5.140576992E1,-5.155089500E-1,2.188547654E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.499547420E2,5.140576992E1,-5.155089100E-1,2.189310599E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.509561092E2,5.140576989E1,-5.155088200E-1,2.190879216E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.519562063E2,5.140576985E1,-5.155087600E-1,2.192221999E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.529564170E2,5.140576981E1,-5.155086800E-1,2.193930997E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.539524772E2,5.140576979E1,-5.155086400E-1,2.193937107E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.549563026E2,5.140576972E1,-5.155085600E-1,2.196494494E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.559613243E2,5.140576964E1,-5.155084400E-1,2.197294075E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.569608558E2,5.140576956E1,-5.155083200E-1,2.198490385E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.579611527E2,5.140576952E1,-5.155082700E-1,2.198581947E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.589611789E2,5.140576993E1,-5.155057300E-1,2.183085419E1,1.899999976E-1,1.151999969E2,4.288000107E0,6.000000000E0
1.599627011E2,5.140577236E1,-5.154954800E-1,2.233080470E1,5.699999928E-1,7.050000000E1,4.288000107E0,6.000000000E0
1.609577378E2,5.140577577E1,-5.154857700E-1,2.223584421E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.619514037E2,5.140577704E1,-5.154828700E-1,2.223566399E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.629598098E2,5.140577440E1,-5.154757000E-1,2.261574080E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.639549932E2,5.140577062E1,-5.154550500E-1,2.264878972E1,1.440000057E0,9.550000000E1,7.504000187E0,8.000000000E0
1.649585436E2,5.140576925E1,-5.154465000E-1,2.285748075E1,0.000000000E0,NaN,5.360000134E0,6.000000000E0
1.659600798E2,5.140576891E1,-5.154472000E-1,2.285180381E1,0.000000000E0,NaN,5.360000134E0,6.000000000E0
1.669567472E2,5.140576884E1,-5.154342200E-1,2.252485514E1,1.110000014E0,9.659999847E1,5.360000134E0,6.000000000E0
1.679568178E2,5.140576915E1,-5.154258100E-1,2.250112303E1,0.000000000E0,NaN,5.360000134E0,6.000000000E0
1.689566564E2,5.140576941E1,-5.154194600E-1,2.263083069E1,4.300000072E-1,1.050000000E2,5.360000134E0,6.000000000E0
1.699578252E2,5.140576725E1,-5.154106300E-1,2.266203237E1,5.500000119E-1,1.075000000E2,6.432000160E0,6.000000000E0
1.709578376E2,5.140576033E1,-5.153900300E-1,2.394374049E1,1.690000057E0,1.223000031E2,5.360000134E0,6.000000000E0
1.719577207E2,5.140574789E1,-5.153599700E-1,2.492108198E1,2.170000076E0,1.255999985E2,4.288000107E0,6.000000000E0
1.729581017E2,5.140573455E1,-5.153280900E-1,2.593028675E1,2.200000048E0,1.251999969E2,4.288000107E0,6.000000000E0
1.739558137E2,5.140572359E1,-5.152976300E-1,2.740927574E1,1.990000010E0,1.185999985E2,4.288000107E0,6.000000000E0
1.749559471E2,5.140571386E1,-5.152675300E-1,2.969691826E1,2.000000000E0,1.191999969E2,4.288000107E0,6.000000000E0
1.759566154E2,5.140570453E1,-5.152326600E-1,3.200879758E1,2.059999943E0,1.176999969E2,3.216000080E0,4.000000000E0
1.769570839E2,5.140569572E1,-5.151969300E-1,3.389446917E1,2.029999971E0,1.166999969E2,3.216000080E0,4.000000000E0
1.779571620E2,5.140568733E1,-5.151625300E-1,3.555382043E1,2.009999990E0,1.155000000E2,3.216000080E0,4.000000000E0
1.789557373E2,5.140567980E1,-5.151297200E-1,3.750650404E1,2.019999981E0,1.135999985E2,3.216000080E0,4.000000000E0
1.799561352E2,5.140567272E1,-5.150986000E-1,3.942506656E1,1.980000019E0,1.165000000E2,3.216000080E0,4.000000000E0
1.809559798E2,5.140566538E1,-5.150669100E-1,4.087872518E1,2.000000000E0,1.176999969E2,3.216000080E0,4.000000000E0
1.819558346E2,5.140565787E1,-5.150350500E-1,4.275816538E1,1.929999948E0,1.183000031E2,3.216000080E0,3.000000000E0
1.829568238E2,5.140565076E1,-5.150040400E-1,4.427774095E1,2.019999981E0,1.143000031E2,3.216000080E0,3.000000000E0
1.839557930E2,5.140565103E1,-5.149873000E-1,4.418327979E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
1.849592850E2,5.140564754E1,-5.149647000E-1,4.626259566E1,1.940000057E0,1.143000031E2,3.216000080E0,3.000000000E0
1.859594686E2,5.140563812E1,-5.149293900E-1,4.768720753E1,2.089999914E0,1.173000031E2,3.216000080E0,3.000000000E0
1.869598147E2,5.140562971E1,-5.148966900E-1,4.916693016E1,1.909999967E0,1.145999985E2,3.216000080E0,3.000000000E0
1.879593034E2,5.140562046E1,-5.148636300E-1,5.137004246E1,2.200000048E0,1.175999985E2,3.216000080E0,3.000000000E0
1.889569229E2,5.140560876E1,-5.148207800E-1,5.297795405E1,3.289999962E0,1.141999969E2,3.216000080E0,4.000000000E0
1.899569552E2,5.140559666E1,-5.147719100E-1,5.251818561E1,2.769999981E0,1.134000015E2,3.216000080E0,4.000000000E0
1.909590923E2,5.140558584E1,-5.147245100E-1,5.193890762E1,2.799999952E0,1.139000015E2,3.216000080E0,4.000000000E0
1.919597366E2,5.140557528E1,-5.146789900E-1,5.133954650E1,2.650000095E0,1.165000000E2,3.216000080E0,3.000000000E0
1.929599943E2,5.140556470E1,-5.146349800E-1,5.148932896E1,2.849999905E0,1.150000000E2,3.216000080E0,4.000000000E0
1.939620449E2,5.140555229E1,-5.145894500E-1,5.038343828E1,3.319999933E0,1.155999985E2,3.216000080E0,4.000000000E0
1.949611418E2,5.140553957E1,-5.145313400E-1,5.167410932E1,4.210000038E0,1.140000000E2,3.216000080E0,4.000000000E0
1.959630435E2,5.140552381E1,-5.144615000E-1,5.304634032E1,4.780000210E0,1.090000000E2,3.216000080E0,4.000000000E0
1.969621027E2,5.140550659E1,-5.143844400E-1,5.340301755E1,5.239999771E0,1.109000015E2,3.216000080E0,6.000000000E0
1.979661954E2,5.140548709E1,-5.143000000E-1,5.191662710E1,5.900000095E0,1.123000031E2,4.288000107E0,6.000000000E0
1.989588730E2,5.140546090E1,-5.141825600E-1,5.156352299E1,5.900000095E0,1.123000031E2,6.432000160E0,6.000000000E0
1.999569919E2,5.140545622E1,-5.141250700E-1,5.077581886E1,3.210000038E0,1.165999985E2,8.576000214E0,8.000000000E0
2.009570760E2,5.140547911E1,-5.140780100E-1,5.014817867E1,3.000000000E0,9.330000305E1,1.179199982E1,8.000000000E0
2.019553882E2,5.140548116E1,-5.140998400E-1,5.006550779E1,0.000000000E0,NaN,1.715200043E1,1.200000000E1
2.029590597E2,5.140556270E1,-5.141861000E-1,4.794284678E1,2.440000057E0,3.491000061E2,2.144000053E1,1.200000000E1
2.039619264E2,5.140553489E1,-5.143874000E-1,4.512467505E1,3.869999886E0,2.873999939E2,2.465600014E1,1.200000000E1
2.049628045E2,5.140545832E1,-5.147338100E-1,4.477241373E1,7.929999828E0,2.535000000E2,2.465600014E1,1.200000000E1
2.059721853E2,5.140542813E1,-5.150374600E-1,4.467982054E1,9.819999695E0,2.526000061E2,2.251200104E1,1.200000000E1
2.069727286E2,5.140539379E1,-5.153670200E-1,4.444175011E1,1.084000015E1,2.573999939E2,1.822400093E1,1.200000000E1
2.079618605E2,5.140544441E1,-5.156497600E-1,3.996924830E1,1.361999989E1,2.690000000E2,1.500800037E1,1.200000000E1
2.089594386E2,5.140550757E1,-5.159275200E-1,3.637595613E1,1.405000019E1,2.773999939E2,1.179199982E1,1.200000000E1
2.099607198E2,5.140554723E1,-5.160488400E-1,3.677305285E1,1.047999954E1,2.777000122E2,1.072000027E1,1.200000000E1
