"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.265533780E-1,2.724895000E0,-9.760437012E-1,3.325436831E0
6.315582610E-1,2.177077293E0,-1.392914772E0,3.611653566E0
6.365936620E-1,3.185620308E-1,-1.852273941E0,2.788960457E0
6.415985440E-1,-1.831148624E0,-2.065631866E0,1.064952374E0
6.466034270E-1,-3.221949100E0,-2.060063362E0,-4.734964371E-1
6.516083100E-1,-3.861942768E0,-2.196788788E0,-1.204218149E0
6.566131930E-1,-3.988677502E0,-1.922532082E0,-1.591565132E0
6.616485930E-1,-3.616801262E0,-1.144055367E0,-2.115540504E0
6.666534760E-1,-2.875364304E0,1.154804230E-1,-3.345909834E0
6.716583590E-1,-1.448092937E0,1.310801506E0,-4.491414070E0
6.766632420E-1,-8.088111877E-2,1.914438248E0,-4.957029343E0
6.816681240E-1,6.840524673E-1,1.973988533E0,-4.794203758E0
6.867035250E-1,1.110964298E0,1.804650307E0,-4.280397415E0
6.917084080E-1,1.217844009E0,1.558922768E0,-4.011450291E0
6.967132900E-1,1.215406895E0,1.347146988E0,-4.399402142E0
7.017181730E-1,1.126887321E0,1.091515541E0,-4.563964367E0
7.067230560E-1,-4.093346596E-1,3.796958923E-1,-3.729707479E0
7.117584560E-1,-1.739941120E0,-1.744155884E-1,-2.137667656E0
7.167633390E-1,-1.645777225E0,-2.279129028E-1,-5.085396767E-1
7.217682220E-1,-1.490960121E0,-1.071777344E-1,1.359598398E0
7.267731050E-1,-4.853692055E-1,-2.085552216E-1,2.708890915E0
7.317779880E-1,2.474036217E0,-1.329555511E-1,2.637230396E0
7.368133880E-1,3.529006004E0,-5.414390564E-1,-3.929853439E-3
7.418182710E-1,2.485276699E0,-1.345395088E0,-2.271046162E0
7.468231540E-1,8.125796318E-1,-1.843107224E0,-3.511270046E0
7.518280370E-1,-9.472751617E-2,-1.961406708E0,-4.135354996E0
7.568634370E-1,8.303260803E-2,-1.653598785E0,-4.060281754E0
