"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.787689550E-1,-5.094007492E0,1.038236046E1,-3.295188904E0
6.837738370E-1,-4.300455093E0,1.049255943E1,-3.283210754E0
6.888092380E-1,-3.841991425E0,1.036559105E1,-2.890626907E0
6.938141210E-1,-3.705440521E0,1.015357780E1,-2.717243195E0
6.988190030E-1,-3.681484222E0,9.968215942E0,-3.180498123E0
7.038238860E-1,-3.747364044E0,9.731048584E0,-3.395805359E0
7.088287690E-1,-5.274877548E0,9.027332306E0,-2.578296661E0
7.138641690E-1,-6.604751587E0,8.474241257E0,-9.633426666E-1
7.188690520E-1,-6.505332947E0,8.420339584E0,7.222824097E-1
7.238739350E-1,-6.340333939E0,8.541318893E0,2.674720764E0
7.288788180E-1,-5.313207626E0,8.439504623E0,4.125574112E0
7.338837010E-1,-2.309686661E0,8.514966965E0,4.155519485E0
7.389191010E-1,-1.205900192E0,8.100822449E0,1.597286224E0
7.439239840E-1,-2.211465836E0,7.281816483E0,-5.983085632E-1
7.489288670E-1,-3.858760834E0,6.763462067E0,-1.770071030E0
7.539337490E-1,-4.745742798E0,6.623317719E0,-2.329151154E0
7.589691500E-1,-4.544509888E0,6.913188934E0,-2.194097519E0
7.639740330E-1,-4.338785172E0,7.332124710E0,-1.579917908E0
7.689483980E-1,-4.101617813E0,7.759445190E0,-1.056772232E0
7.739532810E-1,-4.453475952E0,7.594446182E0,-6.917381287E-2
7.789886810E-1,-5.412326813E0,7.176408768E0,2.109651566E0
7.840240810E-1,-5.714176178E0,7.244684219E0,4.138750076E0
7.889984470E-1,-5.477008820E0,7.694763184E0,4.624763489E0
7.940338470E-1,-4.946676254E0,8.255041122E0,4.760116577E0
7.990387300E-1,-5.300031662E0,8.941089630E0,3.585659027E0
8.040436130E-1,-6.280443192E0,9.400751114E0,1.548175812E0
8.090484960E-1,-6.147485733E0,9.628335953E0,-2.461509705E-1
8.140838960E-1,-6.067232132E0,1.001972198E1,-1.859907150E0
8.190582610E-1,-6.058847427E0,1.043386650E1,-2.745691299E0
8.240631440E-1,-6.014528275E0,1.074979019E1,-2.927759171E0
8.290680270E-1,-6.349916458E0,1.096419907E1,-3.027177811E0
8.341034270E-1,-5.850727081E0,1.112231064E1,-2.417789459E0
8.391083100E-1,-4.739753723E0,1.120945168E1,-1.162179947E0
8.441131930E-1,-4.287279129E0,1.095581436E1,-9.792137146E-2
8.491485930E-1,-4.277696609E0,1.069828415E1,1.264593124E0
8.541534760E-1,-3.862354279E0,1.066714096E1,2.815763474E0
8.591583590E-1,-3.427547455E0,1.054286766E1,4.156717300E0
8.641937590E-1,-2.513015747E0,1.008320618E1,5.771671295E0
8.691986420E-1,-1.116064072E0,9.490587234E0,7.361171722E0
8.742035250E-1,-2.171039581E-1,8.931507111E0,8.187364578E0
