"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.167633390E-1,6.128311157E-2,-2.582035065E0,3.805160522E-2
7.217682220E-1,1.710319519E-1,-3.374576569E0,-5.607604980E-3
7.267731050E-1,3.317832947E-1,-3.985004425E0,-4.713058472E-2
7.317779880E-1,5.277824402E-1,-4.382343292E0,-1.280403137E-1
7.368133880E-1,6.801223755E-1,-4.686889648E0,-3.006744385E-1
7.418182710E-1,7.078933716E-1,-5.000114441E0,-4.742431641E-1
7.468231540E-1,6.205749512E-1,-5.099182129E0,-5.574226379E-1
7.518280370E-1,4.340553284E-1,-4.820137024E0,-5.157661438E-1
7.568634370E-1,1.826477051E-1,-4.112777710E0,-3.592872620E-1
7.618683200E-1,-7.396697998E-2,-3.115692139E0,-1.323127747E-1
7.668426850E-1,-2.849197388E-1,-2.098312378E0,1.105499268E-1
7.718475680E-1,-4.351234436E-1,-1.295089722E0,3.311157227E-1
7.768829680E-1,-4.682350159E-1,-8.498191833E-1,5.239105225E-1
7.819183690E-1,-3.403282166E-1,-7.475471497E-1,6.773185730E-1
7.868927340E-1,-1.038742065E-1,-8.434104919E-1,7.560920715E-1
7.919281340E-1,1.539421082E-1,-1.045818329E0,7.571601868E-1
7.969330170E-1,3.713035583E-1,-1.214179993E0,7.102966309E-1
8.019379000E-1,4.883956909E-1,-1.384677887E0,6.687736511E-1
8.069427830E-1,5.022811890E-1,-1.672267914E0,6.399345398E-1
8.119781830E-1,4.297828674E-1,-1.985492706E0,6.016159058E-1
8.169525480E-1,2.998733521E-1,-2.435035706E0,5.590248108E-1
8.219574310E-1,1.421928406E-1,-3.066692352E0,4.918670654E-1
8.269623140E-1,-3.992080688E-2,-3.726119995E0,4.002761841E-1
8.319977140E-1,-2.263069153E-1,-4.365253448E0,3.182983398E-1
8.370025970E-1,-3.882598877E-1,-4.960727692E0,2.256393433E-1
8.420074800E-1,-5.022811890E-1,-5.564746857E0,1.041412354E-1
8.470428800E-1,-5.512809753E-1,-6.157016754E0,-2.149581909E-2
8.520477630E-1,-5.331230164E-1,-6.479854584E0,-9.399414062E-2
8.570526460E-1,-4.490089417E-1,-6.430721283E0,-9.185791016E-2
8.620880460E-1,-2.923965454E-1,-6.149539948E0,-1.935958862E-2
8.670929290E-1,-5.487442017E-2,-5.783176422E0,7.863998413E-2
8.720978120E-1,2.243041992E-1,-5.404930115E0,1.456642151E-1
8.771026950E-1,4.905319214E-1,-5.039501190E0,1.862525940E-1
8.821075780E-1,6.833267212E-1,-4.638957977E0,2.021408081E-1
8.871429780E-1,7.036209106E-1,-4.210777283E0,2.267074585E-1
8.921478610E-1,5.097579956E-1,-3.759098053E0,2.671623230E-1
8.971527440E-1,2.327156067E-1,-3.262691498E0,2.937316895E-1
9.021576260E-1,5.914688110E-2,-2.767353058E0,2.958679199E-1
9.071625090E-1,4.739761353E-2,-2.408332825E0,2.926635742E-1
9.121673920E-1,1.347160339E-1,-2.244243622E0,3.118896484E-1
9.171722750E-1,2.125549316E-1,-2.231559753E0,3.758430481E-1
9.222076750E-1,2.380561829E-1,-2.265605927E0,4.823875427E-1
9.272125580E-1,2.125549316E-1,-2.267742157E0,6.048202515E-1
9.322174410E-1,1.464653015E-1,-2.217674255E0,7.060241699E-1
9.372223240E-1,5.167007446E-2,-2.156925201E0,7.774543762E-1
9.422577240E-1,-5.701065063E-2,-2.091903687E0,7.933425903E-1
9.472626070E-1,-1.688957214E-1,-2.010993958E0,7.657051086E-1
9.522674900E-1,-2.412605286E-1,-1.935424805E0,6.942749023E-1
9.572723720E-1,-2.466011047E-1,-1.933288574E0,5.697059631E-1
9.622772550E-1,-1.901245117E-1,-1.985492706E0,4.280471802E-1
9.673126560E-1,-9.639739990E-2,-1.921539307E0,3.118896484E-1
9.723175390E-1,1.014709473E-2,-1.642360687E0,2.383232117E-1
9.773224210E-1,1.272392273E-1,-1.217384338E0,2.021408081E-1
9.823273040E-1,2.765083313E-1,-7.945442200E-1,1.777076721E-1
9.873321870E-1,4.639625549E-1,-4.802513123E-1,1.616859436E-1
9.923675870E-1,7.121658325E-1,-2.885246277E-1,1.702308655E-1
9.973724700E-1,1.020050049E0,-2.160263062E-1,2.117538452E-1
1.002377353E0,1.358776093E0,-2.436637878E-1,2.607536316E-1
1.007382236E0,1.728343964E0,-2.778434753E-1,2.947998047E-1
1.012387119E0,2.099113464E0,-2.074813843E-1,3.300476074E-1
1.017422519E0,2.365474701E0,-2.964019775E-2,4.066848755E-1
1.022427402E0,2.473087311E0,1.749038696E-1,5.025482178E-1
1.027432285E0,2.465610504E0,3.486061096E-1,5.600929260E-1
1.032437167E0,2.410202026E0,4.348564148E-1,5.654335022E-1
1.037442050E0,2.359066010E0,4.092216492E-1,5.345916748E-1
1.042477451E0,2.318611145E0,3.240394592E-1,4.865264893E-1
1.047482333E0,2.269611359E0,2.558135986E-1,4.385948181E-1
1.052487216E0,2.194976807E0,2.356529236E-1,3.863906860E-1
1.057492099E0,2.104454041E0,2.878570557E-1,3.118896484E-1
1.062496982E0,2.004318237E0,4.092216492E-1,2.181625366E-1
1.067532382E0,1.920204163E0,5.424690247E-1,1.351165771E-1
1.072537265E0,1.879615784E0,6.552886963E-1,7.543563843E-2
1.077542148E0,1.844501495E0,7.022857666E-1,4.552841187E-2
1.082547031E0,1.792297363E0,6.563568115E-1,2.964019775E-2
1.087551914E0,1.745433807E0,5.392646790E-1,-2.576828003E-2
1.092587314E0,1.712455750E0,3.751754761E-1,-8.865356445E-2
1.097592197E0,1.712455750E0,2.016067505E-1,-1.046752930E-1
1.102597080E0,1.755046844E0,7.583618164E-2,-1.025390625E-1
1.107601962E0,1.806182861E0,-4.766464233E-2,-1.057434082E-1
1.112606845E0,1.849842072E0,-2.543449402E-1,-1.919937134E-1
1.117642246E0,1.838092804E0,-4.291152954E-1,-3.656959534E-1
1.122647128E0,1.657047272E0,-2.650260925E-1,-4.401969910E-1
1.127652011E0,1.286277771E0,1.663589478E-1,-2.441978455E-1
1.132656894E0,8.974838257E-1,4.327201843E-1,5.073547363E-3
1.137661777E0,6.770515442E-1,3.922653198E-1,1.276397705E-1
1.142697177E0,5.842590332E-1,3.815841675E-1,1.319122314E-1
1.147702060E0,4.990768433E-1,5.542182922E-1,4.659652710E-2
1.152706943E0,3.595542908E-1,7.810592651E-1,-5.674362183E-2
1.157711826E0,2.562141418E-1,1.066513062E0,-1.684951782E-1
1.162716708E0,3.223037720E-1,1.451034546E0,-2.750396729E-1
1.167752109E0,4.575538635E-1,1.856918335E0,-4.018783569E-1
1.172756992E0,5.576896667E-1,2.172279358E0,-5.829238892E-1
1.177761874E0,6.120300293E-1,2.380027771E0,-7.671737671E-1
1.182766757E0,6.279182434E-1,2.299118042E0,-9.152412415E-1
1.187771640E0,6.024169922E-1,1.949710846E0,-1.003761292E0
1.192807040E0,5.438041687E-1,1.554374695E0,-1.030330658E0
1.197811923E0,5.054855347E-1,1.150760651E0,-1.036739349E0
1.202816806E0,5.544853210E-1,7.938766479E-1,-1.060237885E0
1.207821689E0,6.279182434E-1,5.392646790E-1,-1.037807465E0
1.212826572E0,6.918716431E-1,3.890609741E-1,-9.856033325E-1
1.217861972E0,7.494163513E-1,2.931976318E-1,-9.579658508E-1
1.222866855E0,7.590293884E-1,2.196311951E-1,-8.694458008E-1
1.227871738E0,7.558250427E-1,1.162910461E-1,-6.447410583E-1
1.232876621E0,8.069610596E-1,1.205635071E-1,-3.357887268E-1
1.237881503E0,9.209823608E-1,4.145622253E-1,-8.117675781E-2
1.242916904E0,1.063709259E0,7.757186890E-1,1.777076721E-1
1.247921787E0,1.211776733E0,8.683776855E-1,5.046844482E-1
1.252926669E0,1.202163696E0,1.225261688E0,8.104324341E-1
1.257931552E0,1.142482758E0,1.557579041E0,9.371376038E-1
1.262936435E0,1.049823761E0,1.520328522E0,1.059703827E0
1.267971835E0,8.463478088E-1,1.511783600E0,1.302566528E0
1.272976718E0,6.929397583E-1,1.387214661E0,1.464519501E0
1.277981601E0,5.256462097E-1,2.803802490E-1,1.671199799E0
1.282986484E0,2.125549316E-1,-7.102966309E-1,1.939563751E0
1.287991367E0,-3.244400024E-2,-1.042613983E0,1.868267059E0
1.293026767E0,-2.753067017E-1,-8.998870850E-1,1.522064209E0
1.298031650E0,-5.767822266E-1,-6.623649597E-1,1.156635284E0
1.303036533E0,-8.570289612E-1,-6.379318237E-1,8.743858337E-1
1.308041415E0,-1.082801819E0,-8.008193970E-1,6.442070007E-1
