"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.201591610E-1,-9.416023254E0,6.348419189E0,1.879671097E0
6.251640440E-1,-9.244735718E0,6.223846436E0,2.451927185E0
6.301689270E-1,-9.356132507E0,6.353210449E0,2.806180954E0
6.351738100E-1,-9.394462585E0,6.714651108E0,2.675918579E0
6.402092100E-1,-9.212394714E0,7.169521332E0,2.501037598E0
6.452140930E-1,-8.970735550E0,7.362369537E0,2.374069214E0
6.502189760E-1,-8.491909027E0,7.053333282E0,2.193498611E0
6.552238590E-1,-7.984334946E0,6.419988632E0,1.805406570E0
6.602287410E-1,-7.888509750E0,5.899238586E0,1.245428085E0
6.652641420E-1,-8.240367889E0,5.644403458E0,5.282363892E-1
6.702690250E-1,-8.720392227E0,5.637216568E0,-2.377662659E-1
6.752739070E-1,-9.147712708E0,5.753404617E0,-1.218477249E0
6.802787900E-1,-9.287857056E0,5.821680069E0,-2.377063751E0
6.852836730E-1,-8.694040298E0,5.451555252E0,-1.107080460E0
6.903190730E-1,-8.983911514E0,4.802938461E0,8.294868469E-2
6.953239560E-1,-9.984685898E0,4.357650757E0,-6.725730896E-1
7.003288390E-1,-1.014010239E1,4.392087936E0,-1.581115723E0
7.053337220E-1,-9.964323044E0,4.826894760E0,-1.012453079E0
7.103386050E-1,-9.878080368E0,5.398851395E0,-8.220005035E-1
7.153434870E-1,-9.065362930E0,5.965118408E0,-9.250125885E-1
7.203788880E-1,-7.636968613E0,6.322067261E0,-6.007041931E-1
7.253837710E-1,-6.555042267E0,6.512220383E0,-2.737007141E-1
7.303886530E-1,-4.970033646E0,8.863531113E0,-6.725730896E-1
7.353935360E-1,-4.501987457E0,1.034193420E1,3.329925537E-1
7.404289370E-1,-6.243610382E0,9.201015472E0,9.459743500E-1
7.454338190E-1,-6.609842300E0,8.788068771E0,5.342254639E-1
7.504387020E-1,-6.087894440E0,8.236175537E0,6.108856201E-1
7.554435850E-1,-5.478805542E0,7.690271378E0,4.863128662E-1
7.604484680E-1,-4.813119888E0,7.445917130E0,2.518405914E-1
7.654533510E-1,-4.012380600E0,7.433938980E0,2.386646271E-1
7.704887510E-1,-3.391014099E0,7.520181656E0,4.419937134E-1
7.754936340E-1,-3.511993408E0,7.643556595E0,3.270034790E-1
7.804985170E-1,-3.878225327E0,7.836404800E0,-8.833885193E-2
7.855034000E-1,-3.947698593E0,7.895996094E0,-8.115196228E-2
7.905082820E-1,-3.928533554E0,7.626787186E0,1.667957306E-1
7.955131650E-1,-3.969259262E0,7.096454620E0,1.871585846E-1
8.005485660E-1,-3.892599106E0,6.353210449E0,2.066230774E-2
8.055534480E-1,-4.051908493E0,5.418016434E0,-7.240791321E-1
8.105583310E-1,-4.577449799E0,4.315727234E0,-1.452949524E0
8.155632140E-1,-5.067955017E0,3.231105804E0,-1.608665466E0
8.205986140E-1,-5.302726746E0,2.086593628E0,-1.638610840E0
8.256034970E-1,-5.513542175E0,9.864006042E-1,-2.220449448E0
8.306083800E-1,-5.867795944E0,8.863830566E-2,-2.872659683E0
8.356132630E-1,-6.253192902E0,-5.842342377E-1,-3.302375793E0
8.406181460E-1,-6.591875076E0,-1.875778198E0,-3.731193542E0
8.456230280E-1,-7.690870285E0,-2.823848724E0,-3.099046707E0
8.506584290E-1,-7.592649460E0,-3.454797745E0,-5.707588196E0
8.556633120E-1,-7.210845947E0,-6.816165924E0,-2.274051666E0
8.606681940E-1,-8.301456451E0,-4.661596298E0,-6.434062958E0
8.656730770E-1,-5.409332275E0,-4.991893768E0,-7.477958679E0
8.706779600E-1,-6.220851898E0,-4.916431427E0,-2.569911957E0
8.756828430E-1,-9.118965149E0,-4.158514023E0,-4.364238739E0
8.806877260E-1,-9.171669006E0,-2.081802368E0,-7.196771622E0
8.857231260E-1,-9.534606934E0,-5.138027191E0,-8.040632248E0
8.907280090E-1,-9.765485764E0,-4.988300323E0,-3.749160767E0
8.957328920E-1,-7.020692825E0,-2.059043884E0,-3.550323486E0
9.007377750E-1,-7.461189270E0,-2.747188568E0,-7.639663696E0
9.057731750E-1,-8.573360443E0,-2.735210419E0,-5.873785019E0
9.107780580E-1,-8.678468704E0,-3.147258759E0,-5.374595642E0
9.157829410E-1,-9.266296387E0,-3.576974869E0,-5.785146713E0
9.207878230E-1,-9.287857056E0,-3.279916763E0,-4.958055496E0
9.258232240E-1,-9.070154190E0,-2.313879013E0,-4.195646286E0
9.308281070E-1,-9.416023254E0,-8.833885193E-1,-3.734786987E0
9.358329890E-1,-9.620550156E0,6.249599457E-1,-3.531158447E0
9.408378720E-1,-9.247131348E0,2.398923874E0,-3.420959473E0
9.458427550E-1,-8.706018448E0,4.083351135E0,-3.040353775E0
9.508781550E-1,-8.329006195E0,5.533006668E0,-2.610637665E0
9.558830380E-1,-8.689249039E0,5.452753067E0,-2.149778366E0
9.608879210E-1,-8.757524490E0,4.298957825E0,-2.525592804E0
9.658928040E-1,-7.686079025E0,4.997882843E0,-3.191278458E0
9.708976870E-1,-7.540245056E0,5.900436401E0,-3.118211746E0
9.759330870E-1,-7.306671143E0,6.163955688E0,-3.497619629E0
9.809379700E-1,-6.765558243E0,6.286132812E0,-3.665313721E0
9.859428530E-1,-6.484371185E0,6.293319702E0,-3.933324814E0
9.909477350E-1,-6.507129669E0,5.921997070E0,-4.400173187E0
9.959526180E-1,-6.995538712E0,4.890079498E0,-4.260028839E0
1.000988019E0,-7.799871445E0,3.149654388E0,-3.981237411E0
1.005992902E0,-8.215213776E0,1.900932312E0,-4.364238739E0
1.010997784E0,-8.638940811E0,8.405666351E-1,-4.656505585E0
1.016002667E0,-8.622171402E0,-6.947326660E-2,-4.601406097E0
1.021007550E0,-8.757524490E0,-5.243434906E-1,-4.272006989E0
1.026012433E0,-9.041406631E0,6.108856201E-2,-4.217206955E0
1.031047833E0,-1.009578323E1,-4.824199677E-1,-4.147733688E0
1.036052716E0,-1.065845680E1,-1.268785477E0,-3.830312729E0
1.041057599E0,-1.106092262E1,-1.298730850E0,-3.866247177E0
1.046062482E0,-1.150740814E1,-1.402940750E0,-4.268413544E0
1.051067364E0,-1.176463890E1,-1.325082779E0,-3.980039597E0
1.056102765E0,-1.210451889E1,-8.199043274E-1,-3.634170532E0
1.061107648E0,-1.245787430E1,-1.173858643E-1,-3.747962952E0
1.066112530E0,-1.276301765E1,6.489162445E-1,-3.942907333E0
1.071117413E0,-1.330053711E1,1.072643280E0,-4.095029831E0
1.076122296E0,-1.381290245E1,1.152896881E0,-3.966863632E0
1.081127179E0,-1.374702263E1,1.271480560E0,-3.647346497E0
1.086162579E0,-1.351135254E1,1.222370148E0,-3.239191055E0
1.091167462E0,-1.353171539E1,1.197216034E0,-3.503608704E0
1.096172345E0,-1.257046890E1,1.180446625E0,-2.704067230E0
1.101177228E0,-1.094593239E1,1.425699234E0,-2.245903015E-2
1.106182110E0,-1.047668839E1,1.282260895E0,4.324111938E-1
1.111217511E0,-1.004337883E1,1.569437027E0,2.015323639E-1
1.116222394E0,-9.364517212E0,1.944053650E0,9.855022430E-1
1.121227277E0,-9.746320724E0,6.968288422E-1,2.230630875E0
1.126232159E0,-9.128547668E0,1.568239212E0,2.151575089E0
1.131237042E0,-8.046621323E0,2.491155624E0,1.907220840E0
1.136272443E0,-7.068605423E0,2.648069382E0,2.223443985E0
1.141277325E0,-5.837850571E0,2.872959137E0,2.539367676E0
1.146282208E0,-4.931703568E0,2.962795258E0,2.290222168E0
1.151287091E0,-4.310337067E0,3.451204300E0,2.466300964E0
1.156291974E0,-3.890203476E0,4.547803879E0,2.302200317E0
1.161296857E0,-3.030771255E0,6.707464218E0,1.889253616E0
1.166332257E0,-2.139896393E0,9.758897781E0,2.124025345E0
1.171337140E0,-2.852296829E0,1.228598785E1,4.238168716E0
1.176342023E0,-5.282363892E0,1.052010918E1,1.867692947E0
1.181346905E0,-6.956010818E0,8.461065292E0,1.200809479E-1
1.186351788E0,-8.846162796E0,7.471071243E0,3.144264221E-2
1.191387189E0,-1.090161324E1,6.117240906E0,-4.180074692E0
1.196392071E0,-1.150141907E1,4.045021057E0,-6.247503281E0
1.201396954E0,-1.382847404E1,2.233924866E0,-8.608097076E0
1.206401837E0,-2.025205612E1,-1.185836792E-1,-1.189999199E1
1.211406720E0,-3.114229012E1,-4.401670456E0,-5.906126022E0
1.216442120E0,-3.041671371E1,-5.147609711E0,4.332496643E0
1.221447003E0,-1.766267967E1,-1.317596436E-1,6.848806381E0
1.226451886E0,-1.004068375E0,6.132812500E0,1.096210289E1
1.231456769E0,1.834842873E1,1.148375130E1,1.537096024E1
1.236461652E0,2.854782295E1,1.516852951E1,1.277469635E1
1.241466534E0,2.286389160E1,1.648762321E1,5.222173691E0
1.246501935E0,1.396113205E1,1.652235985E1,-2.772941589E-1
1.251506818E0,5.878276825E0,1.534101486E1,-1.955732346E0
1.256511700E0,-1.601179123E0,1.378595161E1,-2.532779694E0
1.261516583E0,-7.007516861E0,1.265461540E1,-2.791208267E0
1.266521466E0,-1.151579285E1,1.027246094E1,-4.313930511E0
1.271556866E0,-1.201618004E1,8.562879562E0,-4.072271347E0
1.276561749E0,-1.112770081E1,7.757349014E0,-3.155344009E0
1.281566632E0,-1.073152351E1,6.719442368E0,-1.864698410E0
1.286571515E0,-1.058209610E1,6.084899902E0,3.401794434E-1
1.291576398E0,-1.153376007E1,6.090888977E0,7.390518188E-1
1.296611798E0,-1.149662781E1,7.593248367E0,1.563747406E0
1.301616681E0,-1.618667221E1,6.415197372E0,-1.795225143E0
1.306621564E0,-1.311966705E1,7.541742325E0,-1.326580048E-1
1.311626446E0,-8.789865494E0,9.201015472E0,1.033414841E0
1.316631329E0,-8.357753754E0,9.695413589E0,-6.558036804E-2
1.321636212E0,-8.884492874E0,9.904731750E0,-1.438575745E0
1.326671612E0,-1.006973076E1,9.478609085E0,-2.718441010E0
1.331676495E0,-1.046111679E1,9.395061493E0,-3.591049194E0
1.336681378E0,-9.416023254E0,9.379489899E0,-4.702022552E0
1.341686261E0,-8.852151871E0,8.570066452E0,-4.596614838E0
1.346691144E0,-8.387699127E0,7.736986160E0,-4.245954514E0
1.351696027E0,-7.665716171E0,7.062915802E0,-4.319919586E0
1.356700909E0,-7.534255981E0,5.962722778E0,-4.139348984E0
1.361736310E0,-6.817064285E0,4.810125351E0,-2.628604889E0
1.366741193E0,-7.965169907E0,2.857686996E0,-4.713401794E-1
1.371746075E0,-7.735189438E0,7.854671478E-1,2.039279938E-1
1.376750958E0,-5.184143066E0,-6.587982178E-2,1.189130783E0
1.381755841E0,-1.948545456E0,-5.818386078E-1,2.669929504E0
1.386791241E0,2.648368835E0,-7.636070251E-1,2.781026840E0
1.391796124E0,6.953315735E0,-1.973400116E-1,2.964292526E0
1.396801007E0,9.107885361E0,5.554866791E-1,2.711853027E0
1.401805890E0,9.728054047E0,1.529909134E0,1.961122513E0
1.406810773E0,7.129095078E0,2.065032959E0,1.442768097E0
1.411846173E0,5.880672455E0,2.602552414E0,-1.290046692E0
1.416851056E0,6.246904373E0,3.821329117E0,-4.358249664E0
1.421855939E0,6.478981018E0,5.456346512E0,-5.698005676E0
1.426860821E0,6.704170227E0,7.787294388E0,-6.741901398E0
1.431865704E0,6.519706726E0,1.084831047E1,-7.940015793E0
1.436901105E0,5.884265900E0,1.295975876E1,-7.793882370E0
1.441905987E0,5.821979523E0,1.380391884E1,-7.740280151E0
1.446910870E0,6.802391052E0,1.429951477E1,-7.082979202E0
1.451915753E0,8.346673965E0,1.479391289E1,-6.509525299E0
1.456920636E0,1.077194977E1,1.665411949E1,-5.882169724E0
1.461925519E0,1.326430321E1,1.879461479E1,-4.225591660E0
1.466960919E0,1.456423187E1,2.088360405E1,-7.621097565E-1
1.471965802E0,1.300078392E1,2.244345856E1,2.108453751E0
1.476970685E0,1.058269501E1,2.322383499E1,3.839296341E0
1.481975568E0,9.336668015E0,2.460281944E1,5.854021072E0
1.486980450E0,6.861083984E0,2.455131340E1,6.610740662E0
1.492015851E0,3.413473129E0,2.255335808E1,5.772869110E0
1.497020734E0,9.962825775E-1,1.899195480E1,4.822103500E0
1.502025616E0,-4.306144714E-1,1.514696884E1,1.750606537E0
1.507030499E0,-3.553916931E0,1.116662979E1,-2.130613327E0
1.512035382E0,-3.941709518E0,9.323192596E0,-2.277645111E0
1.517040265E0,-3.419761658E0,8.510175705E0,-1.576324463E0
1.522075665E0,-3.428146362E0,7.753755569E0,-1.960523605E0
1.527111066E0,-3.085571289E0,7.730997086E0,-1.347541809E0
1.532115948E0,-2.604349136E0,8.303253174E0,-3.204154968E-2
1.537120831E0,-2.082401276E0,9.021343231E0,1.220273972E0
1.542125714E0,-1.387069702E0,9.570840836E0,2.103662491E0
1.547130597E0,-8.519458771E-1,1.013710785E1,2.066530228E0
1.552135480E0,-9.765186310E-1,1.046141624E1,1.603275299E0
1.557140362E0,-1.543983459E0,1.030959320E1,1.104085922E0
1.562175763E0,-2.183017731E0,1.004128265E1,4.419937134E-1
1.567180646E0,-4.449882507E-1,9.847536087E0,5.246429443E-1
1.572185528E0,6.036987305E-1,9.335170746E0,3.773117065E-1
1.577190411E0,9.247131348E-1,8.718595505E0,-8.983612061E-4
1.582195294E0,1.337659836E0,8.231384277E0,-3.335914612E-1
1.587200177E0,1.923091888E0,7.772920609E0,-6.438255310E-1
1.592235577E0,3.106832504E0,7.342006683E0,-1.031618118E0
1.597240460E0,4.204629898E0,6.900012970E0,-1.669754028E0
1.602245343E0,4.405862808E0,6.449934006E0,-1.756895065E0
1.607250226E0,4.381906509E0,6.041778564E0,-1.119058609E0
1.612255109E0,4.224992752E0,5.857614517E0,-5.827369690E-1
1.617290509E0,3.973751068E0,5.807306290E0,-6.318473816E-2
1.622295392E0,3.758144379E0,5.953140259E0,3.282012939E-1
1.627300275E0,3.612010956E0,6.165153503E0,5.965118408E-1
1.632305157E0,3.322439194E0,6.354408264E0,5.090713501E-1
1.637310040E0,3.535350800E0,6.393636703E0,-1.518230438E-1
1.642345441E0,3.686275482E0,6.398427963E0,-3.970756531E-1
1.647350323E0,3.594043732E0,6.201087952E0,-1.134929657E-1
1.652355206E0,3.256559372E0,6.052558899E0,2.051258087E-1
1.657360089E0,2.556137085E0,5.884864807E0,-7.396507263E-2
1.662364972E0,2.043771744E0,5.733041763E0,7.698955536E-1
1.667369855E0,2.687896729E0,5.765382767E0,-2.129116058E-1
1.672405255E0,3.048139572E0,6.047767639E0,7.150955200E-1
1.677410138E0,3.136777878E0,6.177131653E0,1.184339523E0
1.682415021E0,3.120008469E0,6.257385254E0,7.615108490E-1
1.687419903E0,3.243383408E0,6.681112289E0,-2.165349960E0
1.692424786E0,3.712627411E0,7.273731232E0,-3.125398636E0
1.697460187E0,3.682682037E0,7.400400162E0,4.643928528E0
1.702465069E0,3.052930832E0,7.246181488E0,5.609966278E0
1.707469952E0,2.620819092E0,6.906002045E0,4.493003845E0
1.712474835E0,2.086893082E0,6.824850082E0,3.657527924E0
1.717479718E0,9.223175049E-1,6.896419525E0,2.636390686E0
1.722515118E0,2.745990753E-1,7.094058990E0,2.102464676E0
1.727520001E0,-5.689620972E-2,7.149158478E0,1.123250961E0
1.732524884E0,-9.238147736E-1,7.177906036E0,-2.665138245E-1
1.737529767E0,-1.342750549E0,7.478258133E0,-1.740425110E0
