"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.555689639E1,5.140443945E1,-5.152294800E-1,1.353837222E1,1.419999957E0,2.310000000E2,4.288000107E0,6.000000000E0
9.655644587E1,5.140443352E1,-5.152348000E-1,1.359031019E1,1.409999967E0,2.051000061E2,3.216000080E0,6.000000000E0
9.755205540E1,5.140442498E1,-5.152386200E-1,1.275919513E1,1.389999986E0,2.243999939E2,4.288000107E0,6.000000000E0
9.855918867E1,5.140442020E1,-5.152487600E-1,1.189456124E1,1.389999986E0,2.445000000E2,4.288000107E0,6.000000000E0
9.955707018E1,5.140442400E1,-5.152612500E-1,1.103388604E1,1.379999995E0,2.785000000E2,3.216000080E0,6.000000000E0
1.005508010E2,5.140443023E1,-5.152733100E-1,1.024675718E1,1.379999995E0,2.868999939E2,3.216000080E0,6.000000000E0
1.015469061E2,5.140443466E1,-5.152857500E-1,9.709384858E0,1.009999990E0,2.727000122E2,3.216000080E0,6.000000000E0
1.025529279E2,5.140443579E1,-5.152901200E-1,8.601163198E0,9.200000167E-1,2.375000000E2,3.216000080E0,6.000000000E0
1.035545648E2,5.140443679E1,-5.152850100E-1,8.901584127E0,4.900000095E-1,1.323999939E2,3.216000080E0,6.000000000E0
1.045572653E2,5.140444211E1,-5.152674000E-1,8.023917659E0,1.340000033E0,5.140000153E1,3.216000080E0,6.000000000E0
1.055546293E2,5.140445067E1,-5.152457900E-1,8.174452445E0,1.240000010E0,7.230000305E1,3.216000080E0,6.000000000E0
1.065570148E2,5.140445667E1,-5.152253600E-1,8.322973226E0,1.379999995E0,1.149000015E2,3.216000080E0,6.000000000E0
1.075528257E2,5.140445989E1,-5.152074300E-1,7.956783143E0,9.200000167E-1,8.900000000E1,3.216000080E0,6.000000000E0
1.085487921E2,5.140446046E1,-5.151918000E-1,6.930191450E0,9.300000072E-1,1.336999969E2,3.216000080E0,6.000000000E0
1.095463539E2,5.140445792E1,-5.151758700E-1,6.341651480E0,9.700000286E-1,1.321000061E2,3.216000080E0,6.000000000E0
1.105488477E2,5.140445506E1,-5.151627500E-1,6.119441130E0,8.600000143E-1,1.615000000E2,3.216000080E0,6.000000000E0
1.115483056E2,5.140445212E1,-5.151568800E-1,4.194890009E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.125455272E2,5.140445001E1,-5.151598400E-1,3.985964253E0,7.400000095E-1,2.203000031E2,3.216000080E0,6.000000000E0
1.135487089E2,5.140445072E1,-5.151644900E-1,3.809688308E0,4.099999964E-1,2.961000061E2,3.216000080E0,6.000000000E0
1.145480363E2,5.140445448E1,-5.151685600E-1,3.629321766E0,4.099999964E-1,2.961000061E2,4.288000107E0,6.000000000E0
1.155481688E2,5.140445644E1,-5.151734200E-1,3.531780090E0,4.600000083E-1,2.295000000E2,3.216000080E0,6.000000000E0
1.165490682E2,5.140445803E1,-5.151803800E-1,2.765656866E0,7.599999905E-1,2.891000061E2,3.216000080E0,6.000000000E0
1.175461819E2,5.140445956E1,-5.151896100E-1,2.799030288E0,8.700000048E-1,2.817000122E2,3.216000080E0,6.000000000E0
1.185473582E2,5.140445863E1,-5.151950500E-1,1.680981937E0,6.100000143E-1,2.790000000E2,3.216000080E0,6.000000000E0
1.195467874E2,5.140445684E1,-5.151965700E-1,1.939281938E0,2.700000107E-1,3.368999939E2,3.216000080E0,6.000000000E0
1.205493640E2,5.140445477E1,-5.151993800E-1,2.227365625E0,4.300000072E-1,2.813999939E2,3.216000080E0,6.000000000E0
1.215566367E2,5.140445762E1,-5.152122300E-1,3.034781406E0,1.659999967E0,3.035000000E2,3.216000080E0,6.000000000E0
1.225545358E2,5.140446059E1,-5.152261400E-1,2.550325634E0,6.200000048E-1,2.927999878E2,3.216000080E0,6.000000000E0
1.235528619E2,5.140445967E1,-5.152303600E-1,2.648587433E0,1.700000018E-1,1.736999969E2,3.216000080E0,6.000000000E0
1.245522737E2,5.140445877E1,-5.152297900E-1,2.031401248E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.255568393E2,5.140445906E1,-5.152288200E-1,3.160186481E0,1.800000072E-1,9.399999619E0,3.216000080E0,6.000000000E0
1.265507068E2,5.140445980E1,-5.152281800E-1,3.424285940E0,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.275491086E2,5.140445989E1,-5.152274800E-1,4.253693515E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.285472220E2,5.140445939E1,-5.152250200E-1,3.337009978E0,3.899999857E-1,1.069000015E2,4.288000107E0,6.000000000E0
1.295471588E2,5.140445966E1,-5.152201300E-1,4.002421334E0,4.600000083E-1,3.770000076E1,4.288000107E0,6.000000000E0
1.305475811E2,5.140446375E1,-5.152191300E-1,5.254128938E0,5.199999809E-1,3.233999939E2,4.288000107E0,6.000000000E0
1.315478132E2,5.140446715E1,-5.152206200E-1,3.425816713E0,4.600000083E-1,2.120000076E1,4.288000107E0,6.000000000E0
1.325522433E2,5.140447210E1,-5.152267200E-1,3.084741232E0,5.000000000E-1,3.338999939E2,4.288000107E0,6.000000000E0
1.335475494E2,5.140447720E1,-5.152263900E-1,1.582419001E0,8.799999952E-1,8.540000153E1,3.216000080E0,6.000000000E0
1.345507975E2,5.140448111E1,-5.152137700E-1,3.218968255E0,1.379999995E0,7.709999847E1,3.216000080E0,6.000000000E0
1.355499409E2,5.140448227E1,-5.151956800E-1,9.135707325E-1,1.190000057E0,9.109999847E1,3.216000080E0,6.000000000E0
1.365472822E2,5.140448395E1,-5.151800900E-1,7.393342230E-1,1.090000033E0,9.290000153E1,3.216000080E0,6.000000000E0
1.375476743E2,5.140448557E1,-5.151674600E-1,1.508697479E0,1.370000005E0,1.933999939E2,3.216000080E0,6.000000000E0
1.385459315E2,5.140448202E1,-5.151586000E-1,6.678908167E-1,1.350000024E0,1.528000031E2,3.216000080E0,6.000000000E0
1.395459722E2,5.140447524E1,-5.151562200E-1,5.972195628E-1,1.360000014E0,1.793999939E2,3.216000080E0,6.000000000E0
1.405472929E2,5.140446581E1,-5.151592200E-1,-1.720652518E-1,1.360000014E0,1.776000061E2,4.288000107E0,6.000000000E0
1.415453422E2,5.140445551E1,-5.151635300E-1,-7.431700248E-1,1.360000014E0,1.933000031E2,3.216000080E0,6.000000000E0
1.425461095E2,5.140444862E1,-5.151708600E-1,-8.100694557E-1,9.800000191E-1,3.052000122E2,4.288000107E0,6.000000000E0
1.435454204E2,5.140444634E1,-5.151737800E-1,-2.766204197E-2,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.445465694E2,5.140444762E1,-5.151676400E-1,5.297180311E-1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.455474428E2,5.140444973E1,-5.151719500E-1,1.340013876E0,1.899999976E-1,2.456999969E2,4.288000107E0,6.000000000E0
1.465461965E2,5.140444886E1,-5.151728900E-1,5.457627508E-1,2.800000012E-1,1.050000000E2,4.288000107E0,6.000000000E0
1.475488350E2,5.140445263E1,-5.151678100E-1,9.749049839E-1,1.250000000E0,2.529999924E1,3.216000080E0,6.000000000E0
1.485539504E2,5.140446131E1,-5.151603500E-1,1.828790722E0,1.350000024E0,3.290000153E1,4.288000107E0,6.000000000E0
1.495487723E2,5.140446656E1,-5.151573400E-1,2.790094870E0,6.499999762E-1,1.670000076E1,4.288000107E0,6.000000000E0
1.505542568E2,5.140446679E1,-5.151586000E-1,3.200737639E0,5.199999809E-1,9.899999619E0,4.288000107E0,6.000000000E0
1.515559030E2,5.140446390E1,-5.151497300E-1,3.534369036E0,1.250000000E0,1.164000015E2,4.288000107E0,6.000000000E0
1.525571432E2,5.140445699E1,-5.151319900E-1,4.212618894E0,1.360000014E0,1.116999969E2,4.288000107E0,6.000000000E0
1.535544812E2,5.140445118E1,-5.151229700E-1,3.759081972E0,4.000000060E-1,9.940000153E1,4.288000107E0,6.000000000E0
1.545538347E2,5.140444465E1,-5.151253900E-1,4.790333123E0,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.555554618E2,5.140444180E1,-5.151248400E-1,4.931387927E0,3.199999928E-1,9.700000000E1,4.288000107E0,6.000000000E0
1.565523160E2,5.140443870E1,-5.151238000E-1,5.294001138E0,4.399999976E-1,1.348999939E2,4.288000107E0,6.000000000E0
1.575508632E2,5.140443074E1,-5.151287900E-1,5.921319266E0,1.100000024E0,2.133000031E2,3.216000080E0,6.000000000E0
1.585477247E2,5.140442409E1,-5.151364300E-1,6.175830414E0,2.800000012E-1,2.351000061E2,4.288000107E0,6.000000000E0
1.595579381E2,5.140442249E1,-5.151344000E-1,1.017009675E1,3.600000143E-1,2.476999969E2,4.288000107E0,6.000000000E0
1.605575179E2,5.140442407E1,-5.151358800E-1,9.558277420E0,4.399999976E-1,3.337999878E2,4.288000107E0,6.000000000E0
1.615555207E2,5.140442744E1,-5.151355100E-1,1.076860285E1,3.600000143E-1,3.337999878E2,4.288000107E0,6.000000000E0
1.625481143E2,5.140443307E1,-5.151374300E-1,1.244889458E1,1.080000043E0,3.277999878E2,4.288000107E0,6.000000000E0
1.635475748E2,5.140443858E1,-5.151454700E-1,1.255465463E1,1.149999976E0,2.776000061E2,4.288000107E0,6.000000000E0
1.645461257E2,5.140444226E1,-5.151554000E-1,1.250575037E1,1.080000043E0,2.993999939E2,4.288000107E0,6.000000000E0
1.655495234E2,5.140444483E1,-5.151688600E-1,1.111016262E1,5.500000119E-1,2.801000061E2,3.216000080E0,6.000000000E0
1.665482925E2,5.140444488E1,-5.151789300E-1,1.060276445E1,5.000000000E-1,2.416000061E2,3.216000080E0,6.000000000E0
1.675485833E2,5.140444303E1,-5.151871600E-1,9.569796130E0,4.199999869E-1,2.787999878E2,3.216000080E0,6.000000000E0
1.685485397E2,5.140444323E1,-5.152012600E-1,9.090346800E0,1.460000038E0,3.010000000E2,3.216000080E0,6.000000000E0
1.695480022E2,5.140444472E1,-5.152126400E-1,8.930480191E0,2.199999988E-1,1.219000015E2,3.216000080E0,6.000000000E0
1.705470325E2,5.140444385E1,-5.152158700E-1,9.005794006E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.715448592E2,5.140444562E1,-5.152139800E-1,8.528988633E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.725466380E2,5.140444741E1,-5.152118900E-1,8.498533600E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.735492244E2,5.140444920E1,-5.152104900E-1,8.132079150E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.745502726E2,5.140445120E1,-5.152066900E-1,8.058352244E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.755506336E2,5.140445262E1,-5.152042400E-1,7.959416467E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
