"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.474864972E0,-6.138992310E-1,1.059036255E0,9.077644348E-1
1.479869855E0,-5.244445801E-1,1.028194427E0,5.455398560E-1
1.484874737E0,-3.379249573E-1,1.167716980E0,2.515411377E-1
1.489910138E0,-1.355171204E-1,1.308307648E0,7.583618164E-2
1.494915021E0,2.737045288E-2,1.423397064E0,1.401901245E-2
1.499919903E0,1.157569885E-1,1.537418365E0,-2.109527588E-2
1.504924786E0,3.057479858E-2,1.630077362E0,-3.818511963E-2
1.509929669E0,-2.345848083E-1,1.802577972E0,1.188278198E-2
1.514934552E0,-4.754447937E-1,1.884689331E0,1.935958862E-2
1.519969952E0,-6.830596924E-1,1.871871948E0,-2.216339111E-2
1.525005353E0,-8.813285828E-1,1.833553314E0,-9.252548218E-2
1.530010235E0,-1.003761292E0,1.723804474E0,-1.883888245E-1
1.535015118E0,-1.010169983E0,1.494693756E0,-2.970695496E-1
1.540020001E0,-8.982849121E-1,1.149559021E0,-4.036140442E-1
1.545024884E0,-7.247161865E-1,7.990837097E-1,-4.984092712E-1
1.550029767E0,-5.499458313E-1,5.200386047E-1,-5.570220947E-1
1.555034650E0,-4.050827026E-1,2.994728088E-1,-5.686378479E-1
1.560070050E0,-2.974700928E-1,1.248359680E-1,-5.026817322E-1
1.565074933E0,-2.197647095E-1,1.201629639E-3,-4.068183899E-1
1.570079816E0,-1.397895813E-1,-9.893417358E-2,-3.907966614E-1
1.575084698E0,-7.596969604E-2,-1.638221741E-1,-4.173660278E-1
1.580089581E0,-3.231048584E-2,-1.659584045E-1,-4.578208923E-1
1.585094464E0,-9.880065918E-3,-1.084136963E-1,-5.196380615E-1
1.590129864E0,-1.308441162E-2,6.542205811E-3,-6.028175354E-1
1.595134747E0,-5.353927612E-2,2.217674255E-1,-7.369995117E-1
1.600139630E0,-1.376533508E-1,5.360603333E-1,-9.021568298E-1
1.605144513E0,-2.133560181E-1,8.651733398E-1,-1.049156189E0
1.610149396E0,-2.409934998E-1,1.154899597E0,-1.170520782E0
1.615184796E0,-2.229690552E-1,1.385078430E0,-1.262111664E0
1.620189679E0,-1.696968079E-1,1.539554596E0,-1.315383911E0
1.625194562E0,-9.613037109E-2,1.642761230E0,-1.329269409E0
1.630199444E0,-1.094818115E-2,1.712055206E0,-1.301631927E0
1.635204327E0,5.727767944E-2,1.771736145E0,-1.238746643E0
1.640239728E0,7.637023926E-2,1.881484985E0,-1.170520782E0
1.645244610E0,8.277893066E-2,2.014598846E0,-1.093883514E0
1.650249493E0,9.986877441E-2,2.138233185E0,-1.002292633E0
1.655254376E0,1.296424866E-1,2.237167358E0,-8.850669861E-1
1.660259259E0,1.743698120E-1,2.290439606E0,-7.284545898E-1
1.665264142E0,2.169609070E-1,2.346916199E0,-5.654335022E-1
1.670299542E0,2.190971375E-1,2.471618652E0,-4.333877563E-1
1.675304425E0,2.841186523E-1,2.447052002E0,-3.161621094E-1
1.680309308E0,3.598213196E-1,2.303256989E0,-2.033424377E-1
1.685314191E0,3.555488586E-1,1.930484772E0,-1.255035400E-1
1.690319073E0,3.591537476E-2,3.347206116E-1,-1.787757874E-1
1.695354474E0,-2.197647095E-1,-1.898174286E0,-2.842521667E-1
1.700359357E0,-2.376556396E-2,-3.054943085E0,-3.013420105E-1
1.705364239E0,1.925277710E-1,-3.692073822E0,-3.002738953E-1
1.710369122E0,3.170967102E-1,-4.122390747E0,-2.895927429E-1
1.715374005E0,3.767776489E-1,-4.277935028E0,-2.480697632E-1
1.720409405E0,3.821182251E-1,-4.145889282E0,-1.372528076E-1
1.725414288E0,3.630256653E-1,-3.699550629E0,-4.138946533E-3
1.730419171E0,3.160285950E-1,-3.052806854E0,1.301765442E-1
1.735424054E0,2.244377136E-1,-2.304992676E0,2.739715576E-1
1.740428937E0,8.171081543E-2,-1.507110596E0,3.921318054E-1
1.745464337E0,-8.865356445E-2,-7.124328613E-1,4.646301270E-1
1.750469220E0,-2.623558044E-1,1.335144043E-4,4.849243164E-1
1.755474103E0,-4.104232788E-1,4.081535339E-1,4.507446289E-1
1.760478985E0,-4.775810242E-1,2.313804626E-1,3.847885132E-1
1.765483868E0,-4.934692383E-1,-8.932113647E-2,3.090858459E-1
1.770488751E0,-4.337882996E-1,-2.106857300E-1,2.324485779E-1
1.775493634E0,-2.506065369E-1,-1.947975159E-1,1.578140259E-1
1.780529034E0,1.869201660E-3,1.829147339E-2,1.013374329E-1
1.785533917E0,2.511405945E-1,2.889251709E-1,9.279251099E-2
1.790538800E0,4.088211060E-1,4.295158386E-1,1.291084290E-1
1.795543683E0,4.460716248E-1,3.251075745E-1,1.642227173E-1
1.800579083E0,4.247093201E-1,-4.886627197E-2,1.813125610E-1
1.805583966E0,4.034805298E-1,-5.388641357E-1,1.918601990E-1
1.810588849E0,3.895950317E-1,-8.371353149E-1,1.897239685E-1
1.815593732E0,3.662300110E-1,-1.022453308E0,2.036094666E-1
1.820598614E0,3.395271301E-1,-1.558246613E0,2.089500427E-1
