"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.635673640E-1,3.827659607E0,-7.605180740E0,-5.801217079E0
8.685722470E-1,3.044735909E0,-7.324660301E0,-9.094403982E-1
8.735771300E-1,1.865634918E-1,-6.369812965E0,-2.696155548E0
8.785820130E-1,1.673460007E-1,-4.118977070E0,-5.497145653E0
8.836174130E-1,-1.649723053E-1,-6.991798878E0,-6.301548958E0
8.886222960E-1,-3.727645874E-1,-6.677636147E0,-1.983434439E0
8.936271790E-1,2.375436783E0,-3.614153624E0,-1.763648152E0
8.986320620E-1,1.940034866E0,-4.165966034E0,-5.812600136E0
9.036674620E-1,8.375701904E-1,-4.022687435E0,-4.018085957E0
9.086723450E-1,7.393388748E-1,-4.309888363E0,-3.490452766E0
9.136772280E-1,1.591377258E-1,-4.620906830E0,-3.866667032E0
9.186821100E-1,1.434211731E-1,-4.215632915E0,-3.010931492E0
9.237175110E-1,3.645181656E-1,-3.154656172E0,-2.226112127E0
9.287223940E-1,2.216911316E-2,-1.646471739E0,-1.745191097E0
9.337272770E-1,-1.796245575E-1,-7.937508821E-2,-1.520361662E0
9.387321590E-1,1.927661896E-1,1.732877016E0,-1.386128664E0
9.437370420E-1,7.282075882E-1,3.437093496E0,-9.804353714E-1
9.487724430E-1,1.096409798E0,4.891992092E0,-5.254616737E-1
9.537773250E-1,7.285289764E-1,4.811473370E0,-4.075574875E-2
9.587822080E-1,6.538524628E-1,3.657122374E0,-3.960576057E-1
9.637870910E-1,1.713622093E0,4.346127510E0,-1.042404890E0
9.687919740E-1,1.846879005E0,5.230170250E0,-9.497270584E-1
9.738273740E-1,2.066008568E0,5.469822407E0,-1.307348490E0
9.788322570E-1,2.590152740E0,5.563811302E0,-1.454364777E0
9.838371400E-1,2.853907585E0,5.539795876E0,-1.704952955E0
9.888420230E-1,2.814997673E0,5.136587620E0,-2.157615423E0
9.938469050E-1,2.314055443E0,4.074768066E0,-2.009229183E0
9.988823060E-1,1.501517296E0,2.308431387E0,-1.725780964E0
1.003887189E0,1.079402924E0,1.034459949E0,-2.101134539E0
1.008892071E0,6.495695114E-1,-5.243200064E-2,-2.380139828E0
1.013896954E0,6.593332291E-1,-9.903603792E-1,-2.311872482E0
1.018901837E0,5.171003342E-1,-1.476151943E0,-1.970979214E0
1.023906720E0,2.271366119E-1,-9.294088483E-1,-1.904004574E0
1.028942120E0,-8.288707733E-1,-1.514533401E0,-1.824158430E0
1.033947003E0,-1.390666962E0,-2.346071243E0,-1.500053883E0
1.038951886E0,-1.791719437E0,-2.428999424E0,-1.527431250E0
1.043956769E0,-2.236416817E0,-2.593956470E0,-1.918836594E0
1.048961652E0,-2.491948128E0,-2.586026669E0,-1.623070717E0
1.053997052E0,-2.829751968E0,-2.162114143E0,-1.274110556E0
1.059001935E0,-3.181148529E0,-1.552245855E0,-1.384359598E0
1.064006818E0,-3.486636162E0,-8.921388388E-1,-1.572080851E0
1.069011700E0,-4.026355743E0,-5.866476297E-1,-1.710495472E0
1.074016583E0,-4.544002533E0,-6.363569498E-1,-1.563113451E0
1.079021466E0,-4.489863396E0,-6.601217985E-1,-1.220091343E0
1.084056866E0,-4.273326874E0,-8.628871441E-1,-7.858226299E-1
1.089061749E0,-4.318979263E0,-1.049902439E0,-1.019014359E0
1.094066632E0,-3.392348289E0,-1.234884024E0,-1.932303905E-1
1.099071515E0,-1.814403534E0,-1.158978462E0,2.502974510E0
